legajo,nombre,apellido,email,celular
1202505,Aguilar,Lucas,lucas@uade.edu.ar,+56 9 9876 5432\
1143498,Franco,Aller,franco@uade.edu.ar,+56 9 9876 5432\
1195186,Anastasia,DiGeronimo,anastasia@uade.edu.ar,+56 9 9876 5432\
1194267,Maximo,Escobar,maximo@uade.edu.ar,+56 9 9876 5432\
1188962,Gabo,Esperon,gabo@uade.edu.ar,+56 9 9876 5432\
1191100,Keila,Gimenez,keila@uade.edu.ar,+56 9 9876 5432\
1179865,Ian,Gimenez,ian@uade.edu.ar,+56 9 9876 5432\
1192070,Gaspar,Ginter,gaspar@uade.edu.ar,+56 9 9876 5432\
1190863,Franco,Idoyaga,franco@uade.edu.ar,+56 9 9876 5432\
1173209,Impa,Hilarion,impa@uade.edu.ar,+56 9 9876 5432\
1179661,Mora,Ivanec,mora@uade.edu.ar,+56 9 9876 5432\
1187922,Aron,Lovey,aron@uade.edu.ar,+56 9 9876 5432\
1167747,Ariana,Alavi,ariana@uade.edu.ar,+56 9 9876 5432\
1188544,Juana,Victoria,juana@uade.edu.ar,+56 9 9876 5432\
1187731,Mauro,Mazzara,mauro@uade.edu.ar,+56 9 9876 5432\
1199749,Ronaldo,Melgarejo,ronaldo@uade.edu.ar,+56 9 9876 5432\
1191981,Delfina,Miguez,delfina@uade.edu.ar,+56 9 9876 5432\
1143266,Sofia,Molinari,sofia@uade.edu.ar,+56 9 9876 5432\
1188327,Luca,Narti,luca@uade.edu.ar,+56 9 9876 5432\
1187245,Brisa,Nunez,brisa@uade.edu.ar,+56 9 9876 5432\
1101756,Evangelina,Ovelar,evangelina@uade.edu.ar,+56 9 9876 5432\
1194428,Lucas,Paluci,lucas@uade.edu.ar,+56 9 9876 5432\
1170204,Luka,Peralta,luka@uade.edu.ar,+56 9 9876 5432\
1085001,Claudia,Precona,claudia@uade.edu.ar,+56 9 9876 5432\
1188090,Serena,Puertas,serena@uade.edu.ar,+56 9 9876 5432\
1157834,Lucas,Roldan,lucas@uade.edu.ar,+56 9 9876 5432\
1190497,Jose,Roman,jose@uade.edu.ar,+56 9 9876 5432\
1179593,Agustin,Romanchuk,agustin@uade.edu.ar,+56 9 9876 5432\
1173539,Ludmila,Rosales,ludmila@uade.edu.ar,+56 9 9876 5432\
1195235,Mateo,Soto,mateo@uade.edu.ar,+56 9 9876 5432\
1178524,Enso,Villamayor,enso@uade.edu.ar,+56 9 9876 5432\
1193218,Benjamin,Villaroel,benjamin@uade.edu.ar,+56 9 9876 5432\
1102797,Agustin,Villavicencio,agustin@uade.edu.ar,+56 9 9876 5432\2233445
1134567,mateo,perez,mateop@uade.edu.ar,224566778
2222222,laura,perez,laura@uade.edu.ar,224567890

